Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Tax,Profit
1,CA-2017-152156,8/11/2017,11/11/2017,二级,CG-12520,个人,北京市,FUR-BO-10001798,家具,书柜,Bush Somerset Collection Bookcase,261.96,20.96,53.93
2,CA-2017-152156,8/11/2017,11/11/2017,二级,CG-12520,个人,北京市,FUR-CH-10000454,家具,椅子,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,58.56,146.83
3,CA-2017-138688,12/06/2017,16/06/2017,二级,DV-13045,公司,广东省,OFF-LA-10000240,办公用品,标签,Self-Adhesive Address Labels for Typewriters by Universal,14.62,1.17,2.45
4,US-2016-108966,11/10/2016,18/10/2016,标准,SO-20335,个人,河南省,FUR-TA-10000577,家具,桌子,Bretford CR4500 Series Slim Rectangular Table,957.5775,76.61,230.5
5,US-2016-108966,11/10/2016,18/10/2016,标准,SO-20335,个人,河南省,OFF-ST-10000760,办公用品,储存设备,Eldon Fold 'N Roll Cart System,22.368,1.79,3.46
6,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,FUR-FU-10001487,家具,家具,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,3.91,9.91
7,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,OFF-AR-10002833,办公用品,艺术品,Newell 322,7.28,0.58,1.14
8,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,TEC-PH-10002275,电子产品,电话,Mitel 5320 IP Phone VoIP phone,907.152,72.57,103.8
9,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,OFF-BI-10003910,办公用品,文件夹,DXL Angle-View Binders with Locking Rings by Samsill,18.504,1.48,3.18
10,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,OFF-AP-10002892,办公用品,家电,Belkin F5C206VTEL 6 Outlet Surge,114.9,9.19,17.62
11,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,FUR-TA-10001539,家具,桌子,Chromcraft Rectangular Conference Tables,1706.184,136.49,343.66
12,CA-2015-115812,9/06/2015,14/06/2015,标准,BH-11710,个人,广东省,TEC-PH-10002033,电子产品,电话,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,72.91,96.24
